iter	Logloss
0	0.6148206075
1	0.5481800079
2	0.4905975024
3	0.4344415983
4	0.3853286107
5	0.3424131393
6	0.3023244858
7	0.2718266805
8	0.246175766
9	0.2206615448
10	0.200172774
11	0.1814951261
12	0.164532725
13	0.1503603617
14	0.1364631335
15	0.1247013728
16	0.1137878577
17	0.1041071256
18	0.09633441766
19	0.08933478991
20	0.08155423005
21	0.07533359528
22	0.06912196477
23	0.06358697414
24	0.06004633109
25	0.05587538878
26	0.05239642859
27	0.04967749119
28	0.04685400724
29	0.0435940663
30	0.04098512332
31	0.03906327089
32	0.03683624268
33	0.03495407104
34	0.03323333462
35	0.0314711233
36	0.03007432421
37	0.0289020141
38	0.02776395281
39	0.02684648236
40	0.02581745386
41	0.02453666131
42	0.02367702127
43	0.02274775306
44	0.02160534859
45	0.02053478956
46	0.01978419026
47	0.01884852648
48	0.01807419658
49	0.01738627156
50	0.01676512559
51	0.01603960196
52	0.01534721851
53	0.01480496426
54	0.01420723399
55	0.01375971238
56	0.01341576775
57	0.01308130622
58	0.01274153292
59	0.01234110395
60	0.01198347211
61	0.01155578891
62	0.01132646501
63	0.01102120181
64	0.0107241869
65	0.01042174796
66	0.0100925386
67	0.009894206127
68	0.009582080444
69	0.009330610434
70	0.009123509129
71	0.008897322416
72	0.008708876371
73	0.008472281694
74	0.008343545596
75	0.008111082514
76	0.007904944817
77	0.007763100664
78	0.007645052671
79	0.007510043184
80	0.007332665722
81	0.007208918532
82	0.007092998922
83	0.006979943812
84	0.006861155232
85	0.006711558501
86	0.006568107009
87	0.006486264865
88	0.006389645239
89	0.006281650563
90	0.006153337657
91	0.006008567413
92	0.005918813248
93	0.005802198251
94	0.005707686146
95	0.005638222893
96	0.00554142942
97	0.005429222186
98	0.005362238487
99	0.005290384591
100	0.005224793653
101	0.005177240074
102	0.00509677281
103	0.005025870601
104	0.004985427856
105	0.004921825727
106	0.004859697819
107	0.004817322393
108	0.004716102282
109	0.004635607203
110	0.004574109117
111	0.004507619143
112	0.004461116592
113	0.004395941893
114	0.004334194958
115	0.004294038812
116	0.004255046447
117	0.004210763176
118	0.004167434573
119	0.004124748707
120	0.004087607314
121	0.004053706427
122	0.004018744081
123	0.003974880278
124	0.003914838284
125	0.003858835747
126	0.003823930025
127	0.003756337613
128	0.00370238622
129	0.003677735229
130	0.003633226454
131	0.003594873846
132	0.003557277719
133	0.003529802461
134	0.003493639578
135	0.003445895513
136	0.003402947138
137	0.003369212896
138	0.003323006382
139	0.003281341493
140	0.003245311975
141	0.003205139438
142	0.003172739347
143	0.003141538302
144	0.003118829926
145	0.00309027185
146	0.003054261208
147	0.003036062419
148	0.003012639284
149	0.002988605698
150	0.002952101827
151	0.002924458186
